title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
Chief Financial Officer,LG Services Group,Are you a dynamic financial leader ready to make a significant impact in a thriving community?,https://www.seek.co.nz/job/75720937?type=promoted&ref=search-standalone&origin=cardTitle#sol=a9172c130e687f4132e57fe8e281c4d84bf56ad1,,helen@lgsg.au,,Auckland CBD,Auckland,"$160,000 ?�? $170,000 - subsidised rental avaliable (AUD)",9/05/2024,
Senior Key Account Manager - Foodstuffs,Diplomat New Zealand Limited,We are looking for an exceptional Senior Key Account Manager to join our Sales Team and further their career in sales!,https://www.seek.co.nz/job/75721953?type=promoted&ref=search-standalone&origin=cardTitle#sol=e85e65b35d2f6c4e887f8ea97d8f0065546ae69e,,,,Auckland CBD,Auckland,"$70,000 ?�? $80,000 per year",9/05/2024,
Office Administrator,CKL NZ Ltd,"Looking for a dynamic, all-round admin superstar to join our Newmarket office in a stimulating and enjoyable work environment!",https://www.seek.co.nz/job/75663235?type=standard&ref=search-standalone&origin=cardTitle#sol=2f9fc02af17af492f541d7a194dd81ce6158e603,,,,Auckland CBD,Auckland,"$160,000 ?�? $170,000 - subsidised rental avaliable (AUD)",9/05/2024,
Chief Financial Officer,LG Services Group,Are you a dynamic financial leader ready to make a significant impact in a thriving community?,https://www.seek.co.nz/job/75720937?type=standout&ref=search-standalone&origin=cardTitle#sol=6c349316f59b940aa9f791d9bd38027296e78d91,,helen@lgsg.au,,Auckland CBD,Auckland,$35.00 - $45.00 p.h.,9/05/2024,
"Service Desk Analyst | CONTRACT",Robert Half Technology,"Bring your passion for supporting users with all matter of technical issues in this 5-month contract in the CBD, long term extensions possible.",https://www.seek.co.nz/job/75711934?type=standard&ref=search-standalone&origin=cardTitle#sol=7524faa40105f709c4e44e92658de85641ba129f,,,900-0012974,Auckland CBD,Auckland,"$70,000 ?�? $90,000 per year",9/05/2024,
Assistant Accountant,Cloudland Limited,An exciting opportunity for an experienced Assistant Accountant based in Hamilton to support a range of accounting and financial activities.,https://www.seek.co.nz/job/75719688?type=standout&ref=search-standalone&origin=cardTitle#sol=7c12a07c00749614347cc2743cdd1ff33ad1a939,,,,Auckland CBD,Auckland,Excellent Benefits and Flexible working options,9/05/2024,
Finance Analyst,Alexander James Limited,My client are looking for an experienced finance analyst to join their team. opportunity to be a key business partner to their regional operations,https://www.seek.co.nz/job/75718105?type=standout&ref=search-standalone&origin=cardTitle#sol=db4c133ef2d4d60d6420871c83fb25d997d8dae7,,aaron.r@alexanderjames.co.nz,0221713365,Auckland CBD,Auckland,"Salary range is from $74,000 to $90,000 per annum",9/05/2024,
Business Controller - Commerce,DB Breweries Ltd,Join our dynamic team!,https://www.seek.co.nz/job/75711717?type=standout&ref=search-standalone&origin=cardTitle#sol=66c71705f29ab68dbcd9424a7f29cfd8ae57d3ed,,,,Auckland CBD,Auckland,$35 - $40 p.h. + + 8% holiday pay,9/05/2024,
Compliance Officer - Noise,Auckland Council,"Maintain, protect, and enhance public health. Handle noise compliance, resolving issues, and enforcement.",https://www.seek.co.nz/job/75712819?type=standout&ref=search-standalone&origin=cardTitle#sol=fb0d458b90388967ab6959a1ee29e7e4b130e04c,,,,Auckland CBD,Auckland,"$88,000 - $107,000 (dependent on experience)",9/05/2024,
General Manager,One Pure International Group Limited,General Manager-AKL,https://www.seek.co.nz/job/75719181?type=standard&ref=search-standalone&origin=cardTitle#sol=7cdc5eb52adab728d7384b112be492735ce441f3,,,,Auckland CBD,Auckland,"$85,000 ?�? $99,999 per year",9/05/2024,
