title,company,description,link,listedOn,email,phone,city,region,salary,runDate,comms
ICT Infrastructure Technician,Albury Wodonga Health,"Join a dynamic work environment whilst providing onsite, and remote day to day ICT technical support for all staff within AWH",https://www.seek.com.au/job/77669525?type=standout&ref=search-standalone&origin=cardTitle#sol=054ad0f3f481d20e9a80037c5f2729e2e3de8a29,,Avi.Arditi@awh.org.au,,Sydney NSW,Osborne Park,,2024-07-30,30/07/2024
ICT (Systems and Network) Administrator,Central Australian Aboriginal Congress,Working with Central Australian Aboriginal Congress not only offers rewarding career options but a wide range of employee benefits includingAbout the,https://www.seek.com.au/job/77665469?type=standout&ref=search-standalone&origin=cardTitle#sol=14476efa094ff9fa93ce3ae6cea583d48ae205f0,,craig.emmott@caac.org.au,,Sydney NSW,Osborne Park,,2024-07-30,30/07/2024
ICT Support Administrator,Goodstart Early Learning,"Ensure seamless operations by troubleshooting applications, identifying solutions, and providing specs for implementation",https://www.seek.com.au/job/77699837?type=standout&ref=search-standalone&origin=cardTitle#sol=109c8248c89033819bc5b29d47bf6b86cdb8b8be,,deadlycareers@goodstart.org.au,,Sydney NSW,Osborne Park,,2024-07-30,30/07/2024
Chief Information Officer (357020),Department of Justice,"Join us and be the change-maker in a role where technology meets justice, driving progress and performance in the heart of the public sector.",https://www.seek.com.au/job/77669314?type=standout&ref=search-standalone&origin=cardTitle#sol=4f7d39be4c7937c612f4740c15955593e8aaffed,,david.byrne@justice.tas.gov.au,,Sydney NSW,Osborne Park,,2024-07-30,30/07/2024
Technology Support Specialist,Lion,Provide proactive service delivery to the business as well as driving continuous improvement,https://www.seek.com.au/job/77679403?type=standout&ref=search-standalone&origin=cardTitle#sol=66474ea7a2d6041f6f522b1d3948af1e2a98d417,,inclusionanddiversity@lionco.com,,Melbourne VIC,Brisbane QLD,Up to $756.56 p.d. incl super,2024-07-30,30/07/2024
Database Administrator 350370,Department of Justice,"Undertake installation, maintenance, administration and support of the Department’s Enterprise Systems.",https://www.seek.com.au/job/77665379?type=standout&ref=search-standalone&origin=cardTitle#sol=e1d442f9dc573d8c734d49cb356e3114b3db19a2,,tina.cooper@justice.tas.gov.au,,Melbourne VIC,Brisbane QLD,,2024-07-30,30/07/2024
Information Security Analyst,Albury Wodonga Health,The Information Security Analyst provide onsite and remote day-to-day ICT Security support for all information assets of AWH.,https://www.seek.com.au/job/77673421?type=standout&ref=search-standalone&origin=cardTitle#sol=5a045b04e4338f4f47badfd0f9172f9938c80bfe,,Lachlan.Takle@awh.org.au,,Melbourne VIC,Brisbane QLD,,2024-07-30,30/07/2024
Field Engineer 3,Unisys,Ensure client specific Service Level Agreements are met and incident and request tickets are updated accordingly within the ticketing system.,https://www.seek.com.au/job/77664891?type=standout&ref=search-standalone&origin=cardTitle#sol=39df07d964c48568a8e666c5d2b2ba02ce8f322d,,GlobalRecruiting@unisys.com,888-560-1782,Melbourne VIC,Brisbane QLD,,2024-07-30,30/07/2024
ICT Service Delivery Coordinator - Brisbane CBD,Pinsent Masons,* Initial six month contact * Brisbane CBD with flexible work arrangements * Must be Brisbane based to apply for this role,https://www.seek.com.au/job/77694500?type=standard&ref=search-standalone&origin=cardTitle#sol=790ca5abd355e07495b54460a657dbd94f05f17c,,kylie.graham@hudson.com,,Melbourne VIC,Brisbane QLD,,2024-07-30,
Digital Executive,CBHS Health Fund Limited,"Our members are at the heart of everything we do. Our vision is to deliver more than great health insurance, building healthier & happier communities.",https://www.seek.com.au/job/77665937?type=promoted&ref=search-standalone&origin=cardTitle#sol=37ea378044f7f04aa69ac0967c51ca278c116064,,help@cbhs.com.au,,North Sydney,Sydney NSW,Our people build skills for the future,2024-07-30,30/07/2024
Transition Lead,Department of Transport and Planning,Managing the business cutover plans for migration of VTDE Program,https://www.seek.com.au/job/77682215?type=standout&ref=search-standalone&origin=cardTitle#sol=1edf953d7c921c40cd9755ca690fbbff205401ce,,ronnie.oliver@transport.vic.gov.au,,North Sydney,Sydney NSW,"$90,000 – $120,000 per year",2024-07-30,30/07/2024
Director Delivery,Department of Transport and Main Roads,Ready to lead the charge in advancing government cyber security? Become the Director of Delivery and make a significant impact,https://www.seek.com.au/job/77670717?type=standout&ref=search-standalone&origin=cardTitle#sol=74cf845fe579eeed09375d52fba6131cb70eabed,,pjenkins@decipherbureau.com,,North Sydney,Sydney NSW,$39.47 - $52.63 per hour (inclusive of super),2024-07-30,30/07/2024
Application Support Analyst,Verse Group,12 month contract! Growth opportunity! Hybrid role!,https://www.seek.com.au/job/77683950?type=standout&ref=search-standalone&origin=cardTitle#sol=46b333be0474c70fa5ed41326ad7f4eae13c3ed3,,matthew.burke@versegroup.com.au,,North Sydney,Sydney NSW,AUD 100 - 140 per hour,2024-07-30,30/07/2024
Field Engineer 3,Unisys,Ensure client specific Service Level Agreements are met and incident and request tickets are updated accordingly within the ticketing system.,https://www.seek.com.au/job/77664891?type=standout&ref=search-standalone&origin=cardTitle#sol=43814562efc949df61fb4a93aa37ba534eda529b,,GlobalRecruiting@unisys.com,888-560-1782,North Sydney,Sydney NSW,Up to $1000 per day,2024-07-30,30/07/2024
Cyber Security Risk Manager (HM4) - Location Negotiable within the MNCLHD,Ignite,"Employment Type: Permanent Full Time Position Classification: Health Manager Level 4 Remuneration: $137,173 - $163,431 Hours Per Week: 38",https://www.seek.com.au/job/77665106?type=standout&ref=search-standalone&origin=cardTitle#sol=5ac74c15af38dc7e9e445f4be819856c4d85b6d4,,ian.treweek@health.nsw.gov.au,,North Sydney,Sydney NSW,,2024-07-30,30/07/2024
Digital Executive,FIRESOFT People,"Our members are at the heart of everything we do. Our vision is to deliver more than great health insurance, building healthier & happier communities.",https://www.seek.com.au/job/77665937?type=standout&ref=search-standalone&origin=cardTitle#sol=5b63020bd16c0b394945ebd994bbeb92b9ebd634,,help@cbhs.com.au,,North Sydney,Sydney NSW,,2024-07-30,30/07/2024
Program Manager,,"Program Manager within UNSW IT (Division of Operations) in the planning, development and implementation of large programs within the IT Portfolio.",https://www.seek.com.au/job/77674745?type=standard&ref=search-standalone&origin=cardTitle#sol=9daf9e027626ad61c8fe9a224aee747011dc839a,,j.maclachlan@unsw.edu.au,,North Sydney,Sydney NSW,,2024-07-30,
Digital Executive,CBHS Health Fund Limited,"Our members are at the heart of everything we do. Our vision is to deliver more than great health insurance, building healthier & happier communities.",https://www.seek.com.au/job/77665937?type=promoted&ref=search-standalone&origin=cardTitle#sol=ab159772e327fab96e113dfdd57ab73b02358327,,help@cbhs.com.au,,Parramatta,Sydney NSW,"$75,000 – $80,000 per year",2024-07-30,30/07/2024
Cyber Security Risk Analyst,TasNetworks,Use your analytical expertise to increase innovation and drive an uplift in our cyber security space,https://www.seek.com.au/job/77670365?type=standout&ref=search-standalone&origin=cardTitle#sol=cfc4fa0bb4696b8aad057d9135deac62eb32b684,,michael.randall@tasnetworks.com.au,,Parramatta,Sydney NSW,$100 - $120 p.h. + All Client Fees Disclosed,2024-07-30,30/07/2024
Junior Cyber Business Analyst,Troocoo,Cyber Business Analyst to join a well established retail business in Sydney. Start ASAP. 6 months and will most likely go on.,https://www.seek.com.au/job/77705401?type=standout&ref=search-standalone&origin=cardTitle#sol=8e2c51145ff9501220767d78caa80ff764327afe,,cevina.feng@troocoo.com,,Parramatta,Sydney NSW,Great package & benefits!,2024-07-30,30/07/2024
Senior Desktop Engineer,Capgemini Australia Pty Ltd,Are you an experienced Senior Desktop Engineer who is ready to step into a new challenge and work in an award-winning tier 1 company?,https://www.seek.com.au/job/77673238?type=standout&ref=search-standalone&origin=cardTitle#sol=cd65595a0784740f51b811342f0adfdc8b911951,,talentacquisitionaunz@capgemini.com,,Parramatta,Sydney NSW,,2024-07-30,30/07/2024
EL1 Project Manager/ Delivery Manager/ Business Analyst - Multiple Roles,Geoscience Australia,"The Transformation Program Office is responsible for planning, coordinating, monitoring, reporting and evaluating delivery and managing change.",https://www.seek.com.au/job/77670023?type=standout&ref=search-standalone&origin=cardTitle#sol=bbdda8e14e59617149da743a0845c27241d2a3b8,,clive.rossiter@ga.gov.au,,Parramatta,Sydney NSW,,2024-07-30,30/07/2024
Digital Executive,CBHS Health Fund Limited,"Our members are at the heart of everything we do. Our vision is to deliver more than great health insurance, building healthier & happier communities.",https://www.seek.com.au/job/77665937?type=promoted&ref=search-standalone&origin=cardTitle#sol=952957fa0c15a50a7a289e37b7832fcc84b811df,,help@cbhs.com.au,,Melbourne VIC,Parramatta,"$75,000 – $80,000 per year",2024-07-30,30/07/2024
Identity Specialist,Catholic Education Western Australia Limited,Are you passionate about Identity and Cybersecurity and ready to make a significant impact in a dynamic and supportive environment?,https://www.seek.com.au/job/77685221?type=standout&ref=search-standalone&origin=cardTitle#sol=e84507815b1a3f718f96329648c456dc8c3764a5,,careers@cewa.edu.au,,Melbourne VIC,Parramatta,"$120,000 package inc super",2024-07-30,30/07/2024
Junior Cyber Business Analyst,Troocoo,Cyber Business Analyst to join a well established retail business in Sydney. Start ASAP. 6 months and will most likely go on.,https://www.seek.com.au/job/77705401?type=standout&ref=search-standalone&origin=cardTitle#sol=75d6dba2a650d30f3e248e593e7b0d5a1c3abe9f,,cevina.feng@troocoo.com,,Melbourne VIC,Parramatta,,2024-07-30,30/07/2024
